"","queryParams_PROLIFIC_PID","block","category","cr","valence","image_name","response","response_time"
"1","698c6d3d083ae26c88d529bb","1","Objects","m",7,"objects_323_h_optimized","m",1096
"2","698c6d3d083ae26c88d529bb","1","Animals","m",6,"animals_055_h_optimized","m",2755
"3","698c6d3d083ae26c88d529bb","1","Objects","z",3,"objects_007_h_optimized","z",5656
"4","698c6d3d083ae26c88d529bb","1","Objects","m",7,"objects_063_v_optimized","z",4288
"5","698c6d3d083ae26c88d529bb","1","Landscapes","z",4,"landscapes_070_h_optimized","z",1478
"6","698c6d3d083ae26c88d529bb","1","Animals","m",7,"animals_202_h_optimized","m",1826
"7","698c6d3d083ae26c88d529bb","1","Objects","z",4,"objects_136_h_optimized","z",3090
"8","698c6d3d083ae26c88d529bb","1","Animals","z",4,"animals_065_h_optimized","z",4629
"9","698c6d3d083ae26c88d529bb","1","Objects","m",6,"objects_193_v_optimized","m",6670
"10","698c6d3d083ae26c88d529bb","1","Objects","z",2,"objects_139_h_optimized","z",4067
"11","698c6d3d083ae26c88d529bb","1","Objects","m",6,"objects_316_h_optimized","m",6286
"12","698c6d3d083ae26c88d529bb","1","Landscapes","m",8,"landscapes_116_v_optimized","m",4944
"13","698c6d3d083ae26c88d529bb","1","Animals","z",3,"animals_038_h_optimized","m",8214
"14","698c6d3d083ae26c88d529bb","1","Animals","z",2,"animals_078_h_optimized","z",3391
"15","698c6d3d083ae26c88d529bb","1","People","m",8,"people_113_h_optimized","m",2418
"16","698c6d3d083ae26c88d529bb","1","Animals","m",8,"animals_166_v_optimized","m",4081
"17","698c6d3d083ae26c88d529bb","1","Faces","z",2,"faces_365_v_optimized","z",5949
"18","698c6d3d083ae26c88d529bb","1","Landscapes","z",3,"landscapes_118_v_optimized","z",2957
"19","698c6d3d083ae26c88d529bb","2","Faces","z",2,"faces_366_h_optimized","z",3627
"20","698c6d3d083ae26c88d529bb","2","Animals","m",8,"animals_156_h_optimized","m",4007
"21","698c6d3d083ae26c88d529bb","2","Animals","z",2,"animals_077_h_optimized","m",4660
"22","698c6d3d083ae26c88d529bb","2","Landscapes","z",3,"landscapes_007_h_optimized","z",2381
"23","698c6d3d083ae26c88d529bb","2","Objects","m",6,"objects_061_h_optimized","m",3858
"24","698c6d3d083ae26c88d529bb","2","Objects","z",2,"objects_125_h_optimized","z",2762
